,name,worth_amount_(BUSD),country,company_sector,company_name,age,gender
1207,Georg Von Opel,2.1,Switzerland,Finance and Investments,"real estate, investments",52.0,M
1208,David Walentas,2.1,,Real Estate,real estate,79.0,
1209,Ronald Wanek,2.1,,Manufacturing,furniture,77.0,M
1210,Wang Changtian,2.1,China,Media & Entertainment,"TV, movie production",53.0,M
1211,Wang Wenjing,2.1,,Technology,business software,53.0,M
1212,Ye Cheng,2.1,,Diversified,conglomerate,56.0,M
1213,Zhu Gongshan,2.1,,Manufacturing,solar panel materials,60.0,M
1214,Antti Aarnio-Wihuri,2.0,Finland,Diversified,diversified,78.0,
1215,S. Daniel Abraham,2.0,,Food and Beverage,Slim-Fast,93.0,M
1216,Joao Alves De Queiroz Filho,2.0,,Diversified,pharmaceuticals,65.0,M
1217,Mika Anttonen,2.0,,Energy,oil & gas,51.0,
1218,Thor Bjorgolfsson,2.0,Iceland,Diversified,investments,51.0,
1219,Andrei Bokarev,2.0,,Manufacturing,"metals, mining",51.0,
1220,Bernhard Braun-Luedicke,2.0,,Healthcare,medical technology,41.0,
1221,Eva Maria Braun-Luedicke,2.0,,Healthcare,medical technology,30.0,F
1222,Friederike Braun-Luedicke,2.0,Germany,Healthcare,medical technology,33.0,F
1223,Ron Burkle,2.0,,Finance and Investments,"supermarkets, investments",65.0,
1224,Vivek Chand Burman,2.0,,Food and Beverage,consumer goods,81.0,M
1225,Chen Yung-Tai,2.0,,Real Estate,real estate,82.0,M
1226,James Clark,2.0,,Technology,"Netscape, investments",74.0,M
1227,Christopher Cline,2.0,United States,Energy,coal,59.0,M
1228,Alexandra Daitch,2.0,,Food and Beverage,Cargill,55.0,
1229,Dong Wei,2.0,,Healthcare,pharmaceuticals,47.0,M
1230,Fritz Draexlmaier,2.0,Germany,Automotive,auto parts,,M
1231,Glenn Dubin,2.0,United States,Finance and Investments,hedge funds,61.0,
1232,Robert Duggan,2.0,,Healthcare,pharmaceuticals,74.0,M
1233,Jayme Garfinkel,2.0,,Finance and Investments,insurance,72.0,M
1234,Sam Goi,2.0,,Food and Beverage,frozen foods,69.0,M
1235,Thomas Hagen,2.0,United States,Finance and Investments,insurance,82.0,M
1236,Carlos Hank Rhon,2.0,Mexico,Diversified,banking,70.0,M
1237,Christoph Henkel,2.0,,Fashion & Retail,consumer goods,60.0,M
1238,Hu Kaijun,2.0,,Healthcare,pharmaceuticals,56.0,M
1239,Huang Yi,2.0,,Automotive,auto distribution,56.0,M
